Object,Count,Detection Time
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
table,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
table,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
table,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
table,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
table,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
person,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
table,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:43
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
table,1,2025-02-28 01:57:44
person,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:44
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
table,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
person,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:45
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
person,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:46
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
